id,created_date,source,category,title,detail,due_date,status,completed_date,linked_txn_id,notion_page_id
1,2026-08-01,AUTO:DIV:20250820-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-08-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20250820-001,
2,2026-08-01,AUTO:DIV:20250820-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-08-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20250820-002,
3,2026-08-01,AUTO:DIV:20250820-003,현금흐름,"AAPL 배당 ₩749,840 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2025-08-20 본인 신한증권 · AAPL 분기배당 (현지 15% 원천징수),,OPEN,,20250820-003,
4,2026-08-01,AUTO:DIV:20250820-004,현금흐름,"MSFT 배당 ₩236,200 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2025-08-20 본인 신한증권 · MSFT 분기배당 (현지 15% 원천징수),,OPEN,,20250820-004,
5,2026-08-01,AUTO:DIV:20250820-005,현금흐름,"GOOG 배당 ₩76,426 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2025-08-20 본인 신한증권 · GOOG 분기배당 (현지 15% 원천징수),,OPEN,,20250820-005,
6,2026-08-01,AUTO:DIV:20250820-006,현금흐름,"BOND_FX.브라질2031 이자/쿠폰 ₩9,940,000 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-08-20 본인 신한증권 · 반기쿠폰 BRL 35,000 → 원화 (비과세)",,OPEN,,20250820-006,
7,2026-08-01,AUTO:DIV:20250820-007,현금흐름,"BOND_FX.브라질2035신규 이자/쿠폰 ₩9,940,000 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-08-20 본인 신한증권 · 반기쿠폰 BRL 35,000 → 원화 (비과세)",,OPEN,,20250820-007,
8,2026-08-01,AUTO:DIV:20250920-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-09-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20250920-001,
9,2026-08-01,AUTO:DIV:20250920-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-09-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20250920-002,
10,2026-08-01,AUTO:DIV:20250920-003,현금흐름,"088980.KS 배당 ₩3,121,462 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-09-20 본인 삼성증권 · 맥쿼리인프라 반기배당 (세후 2,640,757원)",,OPEN,,20250920-003,
11,2026-08-01,AUTO:DIV:20251020-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-10-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20251020-001,
12,2026-08-01,AUTO:DIV:20251020-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-10-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20251020-002,
13,2026-08-01,AUTO:DIV:20251020-003,현금흐름,"BOND_KR.국고채015003609 이자/쿠폰 ₩375,000 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-10-20 본인 신한증권 · 국고채 반기이표 (세후 317,250원)",,OPEN,,20251020-003,
14,2026-08-01,AUTO:DIV:20251120-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-11-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20251120-001,
15,2026-08-01,AUTO:DIV:20251120-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-11-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20251120-002,
16,2026-08-01,AUTO:DIV:20251120-003,현금흐름,"AAPL 배당 ₩749,840 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2025-11-20 본인 신한증권 · AAPL 분기배당 (현지 15% 원천징수),,OPEN,,20251120-003,
17,2026-08-01,AUTO:DIV:20251120-004,현금흐름,"MSFT 배당 ₩236,200 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2025-11-20 본인 신한증권 · MSFT 분기배당 (현지 15% 원천징수),,OPEN,,20251120-004,
18,2026-08-01,AUTO:DIV:20251120-005,현금흐름,"GOOG 배당 ₩76,426 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2025-11-20 본인 신한증권 · GOOG 분기배당 (현지 15% 원천징수),,OPEN,,20251120-005,
19,2026-08-01,AUTO:DIV:20251220-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-12-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20251220-001,
20,2026-08-01,AUTO:DIV:20251220-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2025-12-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20251220-002,
21,2026-08-01,AUTO:DIV:20260120-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-01-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260120-001,
22,2026-08-01,AUTO:DIV:20260120-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-01-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260120-002,
23,2026-08-01,AUTO:DIV:20260220-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-02-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260220-001,
