date,owner,total_asset_krw,stock_value,cash
2026-07-02,본인,1195000000,1123300000,71700000
2026-07-02,전체,1211500000,1138810000,72690000
2026-07-03,본인,1196075500,1124310970,71764530
2026-07-03,전체,1212590350,1139834929,72755421
2026-07-04,본인,1197151000,1125321940,71829060
2026-07-04,전체,1213680700,1140859858,72820842
2026-07-05,본인,1198226500,1126332910,71893590
2026-07-05,전체,1214771050,1141884787,72886263
2026-07-06,본인,1199302000,1127343880,71958120
2026-07-06,전체,1215861400,1142909716,72951684
2026-07-07,본인,1200377500,1128354850,72022650
2026-07-07,전체,1216951750,1143934645,73017105
2026-07-08,본인,1201453000,1129365820,72087180
2026-07-08,전체,1218042100,1144959574,73082526
2026-07-09,본인,1202528500,1130376790,72151710
2026-07-09,전체,1219132450,1145984503,73147947
2026-07-10,본인,1203604000,1131387760,72216240
2026-07-10,전체,1220222800,1147009432,73213368
2026-07-11,본인,1204679500,1132398730,72280770
2026-07-11,전체,1221313150,1148034361,73278789
2026-07-12,본인,1205755000,1133409700,72345300
2026-07-12,전체,1222403500,1149059290,73344210
2026-07-13,본인,1206830500,1134420670,72409830
2026-07-13,전체,1223493850,1150084219,73409631
2026-07-14,본인,1207906000,1135431640,72474360
2026-07-14,전체,1224584200,1151109148,73475052
2026-07-15,본인,1208981500,1136442610,72538890
2026-07-15,전체,1225674550,1152134077,73540473
2026-07-16,본인,1210057000,1137453580,72603420
2026-07-16,전체,1226764900,1153159006,73605894
2026-07-17,본인,1211132500,1138464550,72667950
2026-07-17,전체,1227855250,1154183935,73671315
2026-07-18,본인,1212208000,1139475520,72732480
2026-07-18,전체,1228945600,1155208864,73736736
2026-07-19,본인,1213283500,1140486490,72797010
2026-07-19,전체,1230035950,1156233793,73802157
2026-07-20,본인,1214359000,1141497460,72861540
2026-07-20,전체,1231126300,1157258722,73867578
2026-07-21,본인,1215434500,1142508430,72926070
2026-07-21,전체,1232216650,1158283651,73932999
2026-07-22,본인,1216510000,1143519400,72990600
2026-07-22,전체,1233307000,1159308580,73998420
2026-07-23,본인,1217585500,1144530370,73055130
2026-07-23,전체,1234397350,1160333509,74063841
2026-07-24,본인,1218661000,1145541340,73119660
2026-07-24,전체,1235487700,1161358438,74129262
2026-07-25,본인,1219736500,1146552310,73184190
2026-07-25,전체,1236578050,1162383367,74194683
2026-07-26,본인,1220812000,1147563280,73248720
2026-07-26,전체,1237668400,1163408296,74260104
2026-07-27,본인,1221887500,1148574250,73313250
2026-07-27,전체,1238758750,1164433225,74325525
2026-07-28,본인,1222963000,1149585220,73377780
2026-07-28,전체,1239849100,1165458154,74390946
2026-07-29,본인,1224038500,1150596190,73442310
2026-07-29,전체,1240939450,1166483083,74456367
2026-07-30,본인,1225114000,1151607160,73506840
2026-07-30,전체,1242029800,1167508012,74521788
2026-07-31,본인,1226189500,1152618130,73571370
2026-07-31,전체,1243120150,1168532941,74587209
2026-08-01,본인,1227265000,1153629100,73635900
2026-08-01,전체,1244210500,1169557870,74652630
2026-08-02,본인,1533708052,1367400802,166307250
