date,owner,kind,key,value_krw
2026-08-01,본인,class,BOND_FX,374220000
2026-08-01,본인,class,BOND_KR,47500000
2026-08-01,본인,class,KR_ETF,595862500
2026-08-01,본인,class,US_STOCK,298450365
2026-08-01,본인,class,KR_STOCK,52500000
2026-08-01,본인,class,CASH,166378843
2026-08-01,본인,item,브라질2031,191520000
2026-08-01,본인,item,브라질2035신규,182700000
2026-08-01,본인,item,국고채015003609,47500000
2026-08-01,본인,item,KODEX 미국나스닥100 데일리커버드콜OTM,331037500
2026-08-01,본인,item,KODEX 미국AI테크TOP10 타겟커버드콜,168780000
2026-08-01,본인,item,맥쿼리인프라,96045000
2026-08-01,본인,item,애플,222734916
2026-08-01,본인,item,마이크로소프트,30157144
2026-08-01,본인,item,알파벳,25715712
2026-08-01,본인,item,삼성전자,52500000
2026-08-01,본인,item,인베스코 QQQ,19842594
2026-08-01,본인,item,현금(KRW),147504570
2026-08-01,본인,item,현금(USD),18874273
2026-08-02,본인,class,BOND_FX,374220000
2026-08-02,본인,class,BOND_KR,47500000
2026-08-02,본인,class,KR_ETF,595862500
2026-08-02,본인,class,US_STOCK,297318302
2026-08-02,본인,class,KR_STOCK,52500000
2026-08-02,본인,class,CASH,166307250
2026-08-02,본인,item,브라질2031,191520000
2026-08-02,본인,item,브라질2035신규,182700000
2026-08-02,본인,item,국고채015003609,47500000
2026-08-02,본인,item,KODEX 미국나스닥100 데일리커버드콜OTM,331037500
2026-08-02,본인,item,KODEX 미국AI테크TOP10 타겟커버드콜,168780000
2026-08-02,본인,item,맥쿼리인프라,96045000
2026-08-02,본인,item,애플,221890052
2026-08-02,본인,item,마이크로소프트,30042753
2026-08-02,본인,item,알파벳,25618169
2026-08-02,본인,item,삼성전자,52500000
2026-08-02,본인,item,인베스코 QQQ,19767328
2026-08-02,본인,item,현금(KRW),147504570
2026-08-02,본인,item,현금(USD),18802680
