asset_id,name_kr,asset_class,price_source,ccy,tax_exempt,div_per_share,div_months,maturity,coupon
CASH.KRW,원화 예수금,CASH,manual,KRW,N,,,,
CASH.USD,달러 예수금,CASH,manual,USD,N,,,,
BOND_FX.브라질2031,브라질2031,BOND_FX,manual,KRW,Y,,,,
BOND_FX.브라질2035신규,브라질2035신규,BOND_FX,manual,KRW,Y,,,,
BOND_KR.국고채015003609,국고채015003609,BOND_KR,manual,KRW,N,,,,
494300.KS,KODEX 미국나스닥100 데일리커버드콜OTM,KR_ETF,yfinance:494300.KS,KRW,N,,,,
483280.KS,KODEX 미국AI테크TOP10 타겟커버드콜,KR_ETF,yfinance:483280.KS,KRW,N,,,,
088980.KS,맥쿼리인프라,KR_ETF,yfinance:088980.KS,KRW,N,,,,
AAPL,애플,US_STOCK,yfinance:AAPL,USD,N,,,,
MSFT,마이크로소프트,US_STOCK,yfinance:MSFT,USD,N,,,,
GOOG,알파벳,US_STOCK,yfinance:GOOG,USD,N,,,,
005930.KS,삼성전자,KR_STOCK,yfinance:005930.KS,KRW,N,,,,
QQQ,인베스코 QQQ,US_STOCK,yfinance:QQQ,USD,N,,,,
