txn_id,date,settle_date,owner,account,asset_id,asset_class,type,qty,price,ccy,fx,fx_type,amount_ccy,fee,tax,link_id,tag,note
20250727-001,2025-07-27,,본인,신한증권,CASH.KRW,CASH,DEPOSIT,,,KRW,1,,600000000,,,,SEED,포트폴리오 개시 입금
20250727-002,2025-07-27,,본인,삼성증권,CASH.KRW,CASH,DEPOSIT,,,KRW,1,,500000000,,,,SEED,포트폴리오 개시 입금
20250727-003,2025-07-27,,배우자,배우자증권,CASH.KRW,CASH,DEPOSIT,,,KRW,1,,20000000,,,,SEED,포트폴리오 개시 입금
20250730-001,2025-07-30,,본인,신한증권,BOND_FX.브라질2031,BOND_FX,OPEN_POS,700000,0.95,BRL,288,,665000.0,,,,SEED,"브라질국채 2031 — 연 10% 반기쿠폰, 비과세"
20250730-002,2025-07-30,,본인,신한증권,BOND_FX.브라질2035신규,BOND_FX,OPEN_POS,700000,0.9,BRL,290,,630000.0,,,,SEED,"브라질국채 2035 — 연 10% 반기쿠폰, 비과세"
20250730-003,2025-07-30,,본인,신한증권,BOND_KR.국고채015003609,BOND_KR,OPEN_POS,50000000,0.95,KRW,1,,47500000.0,,,,SEED,국고채 — 반기이표 1.5%
20250730-004,2025-07-30,,본인,삼성증권,494300.KS,KR_ETF,OPEN_POS,35500,9000,KRW,1,,319500000,,,,SEED,KODEX 미국나스닥100 데일리커버드콜OTM — 월배당 목표
20250730-005,2025-07-30,,본인,삼성증권,483280.KS,KR_ETF,OPEN_POS,14500,11200,KRW,1,,162400000,,,,SEED,KODEX 미국AI테크TOP10 타겟커버드콜 — 월배당 목표
20250730-006,2025-07-30,,본인,삼성증권,088980.KS,KR_ETF,OPEN_POS,9500,9800,KRW,1,,93100000,,,,SEED,맥쿼리인프라 — 반기배당(2월/8월)
20250730-007,2025-07-30,,본인,신한증권,AAPL,US_STOCK,OPEN_POS,500,290,USD,1400.0,,145000,,,,SEED,애플 — 분기배당
20250730-008,2025-07-30,,본인,신한증권,MSFT,US_STOCK,OPEN_POS,45,420,USD,1400.0,,18900,,,,SEED,마이크로소프트 — 분기배당
